Importer Log Report
Document: Z:\Documents\Git\SixPak_Ultra\Altium\Open Source\OPL2\isa_opl2.kicad_pcb
    Section : Analyze Document from - Z:\Documents\Git\SixPak_Ultra\Altium\Open Source\OPL2\isa_opl2.kicad_pcb
        Warning: Pad name is empty, autogenerated name 'Un1' assigned to pad pad.
        Warning: Pad name is empty, autogenerated name 'Un2' assigned to pad pad.
        Warning: Pad name is empty, autogenerated name 'Un3' assigned to pad pad.
    EndSection
    Section : Import Document - Z:\Documents\Git\SixPak_Ultra\Altium\KiCAD_Imported\OPL2\Imported isa_opl2\isa_opl2.PcbDoc
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
        Error: Import is not implemented for: KiCadLib.PCB.PCBLine
